logFC	logCPM	LR	PValue	FDR	geneId
1.06887425526906	3.94635841022532	30.1199747826112	4.06126485938871e-08	6.51754252944108e-06	AT2G40230
0.761072687941222	4.63096811729931	30.1171070974077	4.06727474975974e-08	6.51754252944108e-06	AT5G54510
0.744721501245425	4.43268160533343	29.640785334503	5.19992315467146e-08	8.26070550812808e-06	AT1G72140
-0.750094028053711	4.24017551279742	29.431138644513	5.79391819796236e-08	9.12566876513251e-06	AT4G27140
1.89122755711529	1.10889069767401	29.2371081867447	6.40408975181176e-08	1.00012344022362e-05	AT4G27980
0.814132337550699	3.32637441399683	29.2020050320645	6.52116882582607e-08	1.00984957245649e-05	AT4G18210
0.925340178633238	3.64316635789837	29.1742743295843	6.61517306926152e-08	1.01587007766959e-05	AT5G21482
1.66948715768374	1.32039929029676	29.0618491094668	7.01040054132931e-08	1.06766662128609e-05	AT3G45700
0.612162605716814	5.00103984781219	28.8153802132013	7.9616353582392e-08	1.20259849493141e-05	AT1G50040
0.651927364584411	5.18137680933469	28.7875658674586	8.07679887381389e-08	1.21007520037921e-05	AT4G34220
0.891239653628054	4.26801198945267	28.7613832252017	8.1867311973446e-08	1.21665389116666e-05	AT4G19230
0.688320104789518	4.3906373663476	28.6982473764385	8.45802439222486e-08	1.24691578799936e-05	AT5G39760
-1.07863921790302	2.04700843844487	28.6784062146686	8.54512786180914e-08	1.24975885902713e-05	AT5G57685
1.71940131176087	3.25039055623368	28.3499467060268	1.01249591668351e-07	1.46915549233415e-05	AT2G32680
1.14595414427783	2.24558179805246	27.8197476086138	1.33159989394037e-07	1.91708772230728e-05	AT1G68290
-0.731546119133835	3.82999799646734	27.7283066797013	1.39604925250091e-07	1.99429423450286e-05	AT5G16190
0.740547794711083	6.79319108934131	27.6465245501932	1.45633489887297e-07	2.06441073203316e-05	AT5G19110
0.698363683383772	4.98526877333296	27.0986428236831	1.93333625051364e-07	2.71965804766911e-05	AT5G53760
-0.663920304920214	6.18111750457123	27.0691820408129	1.96302596507341e-07	2.74050321851309e-05	AT5G56040
0.737291870770455	3.9789375134316	26.568656786275	2.54336661362446e-07	3.49769850416951e-05	AT5G59790
1.65712248962136	0.630475755476904	26.5459868400512	2.57338737958207e-07	3.51276908377322e-05	AT5G51780
0.65348277894305	4.57001935687905	26.3859346769767	2.79568896391577e-07	3.78815854610587e-05	AT4G30850
-0.703589791858617	4.20845097540541	26.0628420745039	3.30483341819848e-07	4.41315001670736e-05	AT5G50150
-0.909653247740342	6.43069097240863	25.9822099527998	3.4457803103085e-07	4.5682618387313e-05	AT1G70940
0.597706591988455	6.17181024654483	25.9627601137619	3.48067165523767e-07	4.58155837590855e-05	AT2G26690
0.84597031924997	3.09547446896413	25.9420864202259	3.51814687296725e-07	4.59804330319436e-05	AT1G68780
0.863075067048617	3.59642857705025	25.755974784594	3.87425779691621e-07	5.02780441419521e-05	AT4G36540
0.684872348397763	5.13466725615576	25.671382857402	4.04785291324472e-07	5.21635199197718e-05	AT4G27300
1.27175521138265	1.10588542963777	25.614882593863	4.16812230433812e-07	5.33403873780159e-05	AT5G41590
-0.678827070518273	6.84081615998723	25.4048079390143	4.64758353220222e-07	5.86614173502894e-05	AT1G52000
1.01694904057797	4.28144154404189	25.2469667035815	5.04388326047205e-07	6.32303950503258e-05	AT3G60390
0.766786077693668	7.55773315020635	25.0816033936631	5.49546458343407e-07	6.84259603672453e-05	AT3G53180
1.1086076682644	3.16865594107072	25.0037649654904	5.72184749366363e-07	7.07665809484787e-05	AT4G29610
0.712521971054796	3.96953013543208	24.9286318261649	5.9492273562537e-07	7.30410934844816e-05	AT2G03760
1.53684858289732	0.570360459602031	24.9156457964434	5.98943614118348e-07	7.30410934844816e-05	AT5G26290
0.992072038293196	3.0529869040024	24.9043408672872	6.02466149861146e-07	7.30410934844816e-05	AT5G27420
0.587089196463269	6.99893544112027	24.8697050401093	6.13388263106753e-07	7.38792085786356e-05	AT2G34510
0.794947481632377	3.17113210433149	24.7708224143491	6.45674920446346e-07	7.72629703505537e-05	AT1G15100
0.825557303410452	2.86899145969145	24.687474321437	6.7420933301045e-07	8.0156965088494e-05	AT3G22800
1.42901815142936	1.1612960222354	24.630269639605	6.94521913501119e-07	8.20426270640937e-05	AT5G65510
0.644184943763299	5.69631965480056	24.5931872897293	7.08016018387781e-07	8.31039438652868e-05	AT1G55690
1.66038212723546	2.55953261189993	24.4033644765843	7.81321223161279e-07	9.1127768989975e-05	AT5G15190
0.791833895770582	3.5558607476969	24.3317982113016	8.10893471099088e-07	9.39820433044906e-05	AT3G21270
-0.921112912633094	4.15516866426249	24.190897875966	8.72436307582856e-07	0.000100482851725855	AT3G56400
1.53197175992191	0.938454525937054	24.0928292798378	9.18015108621543e-07	0.00010507566721539	AT3G23230
0.660550456117942	4.131867235878	24.0796187103451	9.24334729409827e-07	0.000105145928355335	AT1G09390
0.618804666896856	4.7598325886679	24.0545643231339	9.36440226176723e-07	0.000105869450846532	AT2G16700
1.00033245530277	7.13493250103809	23.9428284306701	9.92392754745824e-07	0.000111511059051561	AT1G19020
1.14906399849539	1.98675551810745	23.8558746328057	1.03824541774474e-06	0.00011595628217091	AT2G37980
0.64000437367731	5.38392753800188	23.7741604512846	1.0832699903121e-06	0.000119556759660197	AT3G48090
2.13651125771716	-0.410186333833273	23.7738249962718	1.08345880525575e-06	0.000119556759660197	AT2G43470
0.783668090278091	3.63359526639097	23.6158181573727	1.17616679695027e-06	0.000129014296036903	AT5G11160
-0.876988091272872	3.13406653301054	23.5621172106298	1.2094536327213e-06	0.000131880541679219	AT5G47800
0.61078657138356	5.92811225298368	23.3722392267128	1.33491185134488e-06	0.000143858219863061	AT1G78580
-0.665690182364696	3.50824359333811	23.2716371503672	1.4065905516556e-06	0.000150701457476218	AT3G16330
0.82401158850642	2.74272618283153	23.1420492782545	1.50464049620973e-06	0.000160274653550016	AT5G67520
-0.725692692269314	7.14037202360383	23.0932668928143	1.54330186873235e-06	0.000163448085270114	AT5G51550
1.35083054184542	0.990854255219848	23.0233617645922	1.60044711865864e-06	0.000168531654300808	AT5G46295
0.751458295202938	2.98998851640557	23.0123628323189	1.60962967088472e-06	0.000168535543040134	AT3G13620
0.610544751004292	4.98835543521488	22.9661465723423	1.64879481649079e-06	0.000171660965414081	AT2G40460
0.749251903764184	3.86238945752709	22.7554972709556	1.83977099321558e-06	0.000190467976758296	AT1G77380
1.38960325212896	1.28614447562626	22.717146349372	1.87685643814383e-06	0.000193221846045333	AT1G67110
1.04943214690223	6.02114659592023	22.6949916771442	1.89862083358546e-06	0.000194376581785071	AT5G40390
0.691401333189878	8.51646876953292	22.6474873845838	1.94614552919639e-06	0.00019814126967973	AT3G15356
1.9734074412206	-0.113408925177618	22.4756096465574	2.12828895540581e-06	0.000214317534809936	AT3G13404
0.80344089950982	4.9127586254571	22.3224175101488	2.30500027419523e-06	0.00022994761486506	AT4G29310
1.47080825009553	3.57615963296192	22.3195369271015	2.30846042706946e-06	0.00022994761486506	AT2G36590
