logFC	logCPM	LR	PValue	FDR	geneId
0.98861356	6.002284936	57.27513923	3.79E-14	4.73E-12	AT2G31020
-1.179322924	3.939571759	57.21182875	3.91E-14	4.86E-12	AT1G70230
-0.964817285	6.35011178	56.96597196	4.43E-14	5.47E-12	AT2G39350
0.881318109	7.535477933	56.91731542	4.55E-14	5.57E-12	AT2G16500
1.834158868	1.530693919	56.15280876	6.71E-14	8.16E-12	AT1G52342
2.146521701	1.116864695	55.89785508	7.63E-14	9.24E-12	AT4G03600
-1.105393979	3.892668016	55.5501505	9.11E-14	1.10E-11	AT5G53420
0.907475737	8.570697853	54.80174168	1.33E-13	1.59E-11	AT5G40390
0.814737485	6.120740905	54.66693125	1.43E-13	1.70E-11	AT1G15100
-1.328828355	2.38466411	54.58320361	1.49E-13	1.76E-11	AT2G03500
1.426706486	4.936266814	54.0821492	1.92E-13	2.26E-11	AT1G21120
1.056243196	3.952834796	53.77871705	2.24E-13	2.61E-11	AT1G31940
1.802068336	4.403934109	53.77287174	2.25E-13	2.61E-11	AT4G28840
-1.024595307	5.078407138	53.51091861	2.57E-13	2.96E-11	AT5G10720
1.463273328	4.337661558	53.41902767	2.69E-13	3.08E-11	AT1G58190
1.698775437	2.711921301	53.11956365	3.14E-13	3.57E-11	AT4G15680
-0.893633138	4.278123865	52.25546382	4.87E-13	5.51E-11	AT5G58750
-0.969625711	4.000057082	52.10810905	5.25E-13	5.91E-11	AT1G05660
0.911120208	4.463174843	51.28901648	7.97E-13	8.91E-11	AT1G63720
1.526356951	1.982211987	51.12892085	8.65E-13	9.61E-11	AT2G40200
1.011345238	4.110064843	51.06385335	8.94E-13	9.88E-11	AT1G60010
0.882916794	4.069409926	51.03479858	9.07E-13	9.97E-11	AT4G37080
2.156453829	3.771668603	50.8094142	1.02E-12	1.11E-10	AT2G34610
0.978464551	3.793563589	50.12587109	1.44E-12	1.57E-10	AT5G16230
0.790393657	5.794644269	50.02535582	1.52E-12	1.64E-10	AT5G52560
1.106455369	3.039221206	49.75268621	1.74E-12	1.87E-10	AT5G23950
1.352442886	3.890524986	49.6840055	1.81E-12	1.93E-10	AT1G13510
1.577453691	3.503061781	49.65576442	1.83E-12	1.95E-10	AT1G31320
1.003296373	3.239073112	49.56600252	1.92E-12	2.03E-10	AT1G35515
-1.295219552	2.957016981	49.21274856	2.30E-12	2.41E-10	AT4G25560
1.258256372	6.545809862	48.89511595	2.70E-12	2.82E-10	AT1G78120
-1.000722454	4.164452832	48.8566208	2.75E-12	2.85E-10	AT2G30130
-1.316157009	3.595669804	48.85293528	2.76E-12	2.85E-10	AT2G43140
0.891562517	3.902422238	48.73506212	2.93E-12	3.01E-10	AT5G62960
